152600256广汇能源112.35 石油行业246亿

153002219恒康医疗88.57 医药制造238亿

154002195二三四五37.19 电子信息236亿

155600737中粮糖业53.04 食品饮料235亿

156600317营口港49.20 港口水运232亿

157600654中安消60.92 软件服务224亿

158002183怡 亚 通37.16 国际贸易224亿

159000732泰禾集团13.20 房地产214亿

160000718苏宁环球20.48 房地产220亿

161002129中环股份46.77 电子元件219亿

162002366台海核电45.91 机械行业217亿

163600037歌华有线27.13 文化传媒215亿

164600008首创股份39.41 公用事业206亿

165600839四川长虹28.93 家电行业201亿

166000917电广传媒71.43 文化传媒204亿

167000581威孚高科13.35 汽车行业233亿

168000800一汽轿车-19.58 汽车行业187亿

169600648外高桥27.66 房地产230亿
