历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000050	深天马Ａ	4.40	22.80	56423368	1288514560	0.896	0.755	0.282	2.127	2.125	20.521	22.535	18.506	6.883	8.852	13.337	
000055	方大集团	-1.68	7.02	9187201	64845168	-0.101	-0.096	-0.011	-0.185	-0.194	7.201	7.467	6.936	-0.660	-1.830	-2.893	
000056	皇庭国际	0.39	12.96	1847950	23822340	0.263	0.186	0.154	0.607	0.458	12.201	13.044	11.359	2.154	4.292	6.920	
000058	深 赛 格	-0.13	7.45	2897373	21550232	-0.178	-0.096	-0.165	-0.163	0.094	7.943	8.682	7.203	0.134	-4.405	-6.744	
000059	华锦股份	3.37	12.26	100189336	1221552000	0.431	0.300	0.262	1.059	0.733	10.811	12.126	9.496	7.152	9.538	15.050	
000060	中金岭南	1.34	12.08	74963624	904937472	0.317	0.290	0.054	0.957	0.973	11.413	12.004	10.823	3.974	4.521	6.985	
000061	农 产 品					-0.069	-0.095	0.053	-0.223	-0.415	8.922	9.245	8.600	1.874	0.938	1.688	
000062	深圳华强					-0.895	-0.682	-0.427	-2.385	-1.397	26.419	28.457	24.380	-1.032	-4.129	-7.069	
000063	中兴通讯	0.34	23.66	69648936	1668504064	0.476	0.595	-0.238	1.702	2.272	23.255	24.431	22.079	2.240	2.506	2.181	
000065	北方国际	-1.22	25.00	6637781	166262208	-0.295	-0.406	0.221	-0.649	-0.601	24.253	26.047	22.459	5.641	3.968	2.229	
000066	中国长城	-0.33	9.18	16081584	148212592	0.100	0.128	-0.056	0.387	0.444	9.172	9.855	8.489	0.291	-1.388	1.129	
000068	华控赛格	-2.02	6.31	4680544	29640140	-0.176	-0.145	-0.062	-0.401	-0.332	6.740	7.236	6.243	-1.739	-4.321	-6.640	
000069	华侨城Ａ	0.32	9.46	38831692	370004448	0.041	0.120	-0.158	0.334	0.642	9.672	10.224	9.121	0.961	-0.587	-1.859	
000070	特发信息	-2.95	10.54	4778460	50887664	-0.303	-0.235	-0.135	-0.605	-0.221	11.097	12.325	9.870	1.362	-1.372	-6.050	
000078	海王生物	-0.99	6.03	13092313	79098736	0.018	0.037	-0.038	0.158	0.182	6.101	6.325	5.877	-0.850	-2.044	-1.039	
000088	盐 田 港	-2.23	9.21	15757260	145730448	-0.275	-0.165	-0.220	-0.490	-0.094	10.049	11.190	8.908	-2.626	-5.019	-9.916	
000089	深圳机场	1.10	9.18	9450272	86392568	-0.053	-0.002	-0.102	-0.035	0.217	9.351	9.818	8.884	1.138	-1.095	-1.573	
000090	天健集团	-1.22	11.38	16952596	194135520	0.170	0.243	-0.147	0.826	0.888	11.451	12.312	10.590	-0.146	-2.373	0.121	
000096	广聚能源	0.07	14.26	881000	12498351	-0.222	-0.209	-0.027	-0.581	-0.357	14.481	15.277	13.685	1.531	0.158	-1.903	
000099	中信海直					-0.284	-0.228	-0.112	-0.791	-0.475	11.767	12.689	10.845	0.208	-1.802	-4.553	
000100	TCL 集团					-0.010	0.001	-0.023	-0.016	0.006	3.504	3.609	3.400	-1.342	-2.233	-1.977	
000150	宜华健康	5.78	25.61	4029651	101811856	-0.090	-0.190	0.201	-0.447	-0.533	24.465	25.197	23.732	4.595	4.353	4.794	
000151	中成股份	3.35	17.89	7074586	127311792	-0.500	-0.365	-0.270	-1.008	-0.384	18.524	20.153	16.895	2.385	-1.301	-4.425	
000153	丰原药业	-0.21	9.63	4435728	42860784	-0.865	-0.561	-0.607	-1.950	-0.756	11.774	14.852	8.697	-1.197	-11.773	-19.661	
000156	华数传媒	0.92	14.30	1935659	27538894	-0.199	-0.141	-0.114	-0.327	-0.110	14.648	15.390	13.905	1.036	-1.124	-2.539	
000157	中联重科	1.05	4.79	73821376	355572224	0.075	0.049	0.051	0.182	0.128	4.570	4.758	4.382	2.168	3.961	5.410	
000158	常山股份	-2.57	10.62	13022017	140627888	-0.269	-0.107	-0.325	-0.483	0.061	11.691	12.933	10.449	-2.225	-6.218	-9.623	
000159	国际实业	1.10	6.43	8074524	51794728	-0.120	-0.064	-0.112	-0.097	0.005	6.761	7.328	6.195	0.208	-4.030	-4.747	
000166	申万宏源	-0.51	5.84	37254476	218518320	0.058	0.042	0.032	0.177	0.137	5.699	5.902	5.495	1.126	1.477	2.840	
000301	东方市场					-0.002	0.008	-0.020	-0.011	0.024	5.134	5.243	5.025	-0.851	-1.319	-1.343	
000333	美的集团	-0.83	41.90	29503966	1242799360	0.465	0.735	-0.539	2.136	3.051	42.296	44.087	40.504	0.480	0.072	-1.078	
000338	潍柴动力	-0.72	6.91	120764696	839855808	0.261	0.256	0.009	0.760	0.794	6.635	7.045	6.226	0.778	2.358	6.043	
000400	许继电气	0.06	17.08	4201495	71667416	0.025	0.161	-0.272	0.556	0.922	17.604	18.535	16.674	-0.234	-2.683	-2.015	
000401	冀东水泥	0.19	15.61	41224360	644959104	-0.252	-0.218	-0.067	-0.526	-0.662	15.848	17.161	14.535	1.188	-2.483	-1.563	
000402	金 融 街	-1.78	12.15	26836596	326613824	0.191	0.137	0.108	0.463	0.370	11.837	12.391	11.282	-0.164	2.144	2.981	
000403	ST生化					0.407	0.023	0.769	0.126	-0.930	28.340	30.926	25.754	3.984	5.888	9.364	
000404	华意压缩	-0.14	7.29	8710752	63543820	-0.162	-0.106	-0.112	-0.286	-0.181	7.690	8.287	7.093	0.137	-3.720	-5.248	
000407	胜利股份	-2.25	7.83	6550657	51616436	-0.454	-0.320	-0.268	-0.817	-0.459	8.972	10.217	7.727	-3.887	-9.130	-14.247	
000408	藏格控股	-2.94	13.88	3430652	47975596	-0.022	-0.060	0.077	-0.080	-0.127	13.797	14.298	13.296	1.524	1.289	1.154	
