历史行情.指标排序沪深Ａ股 日期:2017-07-18,二 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000001	平安银行	2.25	10.89	234943184	2558434048	0.454	0.293	0.322	0.978	0.685	0.619	0.338	1071.072	860.592	
000002	万 科Ａ	2.89	25.30	79183376	2004962432	0.894	0.983	-0.178	-0.167	0.531	0.655	0.803	105.236	155.844	
000004	国农科技	-3.08	21.07	2478499	51674224	-2.729	-2.776	0.094	-2.459	-0.928	-1.399	-1.519	-6.172	-4.184	
000005	世纪星源	1.69	4.81	4628224	22091604	-0.102	-0.062	-0.081	-1.000	-0.416	-0.173	-0.082	-2.122	2.027	
000006	深振业Ａ	1.11	8.19	9532278	77663040	-0.057	0.011	-0.135	-1.009	-0.479	-0.057	0.060	17.205	42.613	
000007	全新好	2.24	14.60	13778573	191060800	-0.457	-0.187	-0.539	-1.216	-0.534	-0.221	-0.044	3.761	-4.899	
000008	神州高铁	0.55	7.25	3710437	26530560	-0.017	-0.010	-0.013	-0.434	-0.169	0.036	0.038	3.370	7.917	
000009	中国宝安	2.12	7.72	20349112	155463520	0.015	0.077	-0.125	-0.881	0.008	0.204	0.296	88.738	119.195	
000010	美丽生态	1.07	4.72	6495745	30344822	-0.102	-0.072	-0.060	-0.987	-0.423	-0.136	-0.097	-5.639	3.679	
000011	深物业A	1.96	18.25	6979525	126869744	-0.233	0.044	-0.553	-1.666	-0.788	-0.140	0.068	6.107	4.558	
000012	南 玻Ａ	1.60	8.25	11133282	105870528	0.089	0.067	0.045	-0.081	0.264	0.233	0.158	44.346	48.370	
000014	沙河股份	2.05	16.89	2327167	39006428	-0.189	-0.168	-0.042	0.089	-0.326	-0.184	-0.157	-4.211	-1.228	
000016	深康佳Ａ	1.20	5.05	20348784	100707040	0.146	0.170	-0.049	-0.433	0.649	0.609	0.576	82.912	87.670	
000017	深中华A	3.44	7.81	3620250	27868948	-0.193	-0.085	-0.215	-1.395	-0.461	-0.136	0.027	-0.701	3.316	
000018	神州长城	0.57	7.09	11129346	78422656	-0.182	-0.129	-0.105	-1.039	-0.508	-0.227	-0.136	-25.112	-16.403	
000019	深深宝Ａ	3.68	10.72	10135293	107897560	-0.171	0.073	-0.488	-2.023	-0.553	0.017	0.270	32.746	40.385	
000020	深华发Ａ					-0.871	-0.695	-0.353	-1.089	-0.687	-0.600	-0.476	-3.175	-4.128	
000021	深科技	1.25	8.10	6005824	48358400	-0.048	0.031	-0.158	-0.859	-0.213	0.026	0.152	2.499	7.086	
000022	深赤湾Ａ	0.46	28.12	5740109	160917360	0.270	0.585	-0.630	-1.207	-0.618	0.143	0.361	0.539	5.584	
000023	深天地Ａ	-0.52	25.05	860754	21344552	0.194	0.469	-0.548	-1.678	-0.192	0.279	0.468	3.396	3.467	
000025	特 力Ａ	2.00	46.00	5936756	272839168	1.311	2.181	-1.740	-1.516	0.030	0.726	1.094	49.044	63.748	
000026	飞亚达Ａ	0.36	11.21	3795011	42115488	-0.184	-0.034	-0.298	-1.405	-0.209	-0.024	0.099	1.348	9.365	
000027	深圳能源	0.46	6.52	7406863	48117916	-0.002	0.031	-0.065	-0.317	0.142	0.078	0.128	2.804	19.568	
000028	国药一致	-2.90	75.38	1462180	110828984	0.198	0.898	-1.399	-0.156	0.306	0.140	0.264	0.118	1.512	
000029	深深房Ａ					-0.013	0.034	-0.094	-0.583	-0.787	-0.042	0.086	52.933	49.458	
000030	富奥股份	2.25	8.64	5970671	50691688	0.048	0.109	-0.122	-0.443	-0.002	0.158	0.286	18.801	22.996	
000031	中粮地产	1.13	7.18	7136523	50934692	-0.037	0.004	-0.081	-0.737	-0.123	0.036	0.087	11.315	19.156	
000032	深桑达Ａ					0.135	0.099	0.073	0.203	0.321	0.145	0.065	24.229	13.975	
000034	神州数码	-9.98	22.01	321400	7074014	0.251	0.345	-0.187	-0.178	0.348	0.287	0.340	10.085	2.615	
000035	中国天楹	-1.80	6.53	11514561	73766696	-0.054	-0.020	-0.069	-0.927	-0.022	-0.020	0.035	-5.032	1.793	
000036	华联控股	3.93	9.53	51915644	500399904	0.163	0.119	0.087	0.368	0.087	0.210	0.196	119.417	60.642	
000037	深南电A	0.20	9.92	1706100	16843736	-0.021	0.027	-0.095	-0.429	-0.080	0.020	0.138	3.254	4.829	
000038	深大通					-1.003	-0.936	-0.135	-1.351	-1.485	-0.637	-0.637	-2.962	-2.309	
000039	中集集团	0.94	17.17	13068121	224941088	0.151	0.243	-0.183	-0.352	0.039	0.174	0.267	27.878	41.702	
000040	东旭蓝天	3.69	12.37	5397361	65580856	0.006	0.104	-0.197	-1.226	-0.030	0.154	0.218	14.078	17.382	
000042	中洲控股	0.06	16.65	587349	9662831	-0.213	-0.235	0.043	-0.357	-0.271	-0.205	-0.217	-2.609	-3.123	
000043	中航地产	2.65	10.44	6764100	69369448	0.289	0.299	-0.019	0.134	0.550	0.616	0.536	33.341	31.832	
000045	深纺织Ａ	1.86	10.41	3673251	37888740	-0.292	-0.116	-0.352	-1.954	-0.729	-0.239	-0.027	-10.948	-0.863	
000046	泛海控股	-0.12	8.19	3880580	31693770	-0.043	-0.016	-0.052	-0.303	-0.129	-0.036	0.038	0.817	2.691	
000048	康达尔	3.40	25.24	687603	16992696	-0.401	-0.256	-0.291	-1.040	-0.576	-0.118	-0.054	-1.501	-0.996	
000049	德赛电池	1.79	51.15	2767419	140204032	-0.307	0.038	-0.691	-0.094	0.176	0.027	0.088	0.588	-1.506	
000050	深天马Ａ	8.23	21.31	45155008	926413312	0.657	0.691	-0.068	0.343	0.203	0.604	0.681	136.091	126.167	
000055	方大集团	0.29	6.97	7072772	49219840	-0.108	-0.091	-0.034	-0.536	-0.389	-0.126	-0.086	-3.136	-0.757	
000056	皇庭国际	0.73	12.40	1548801	18962840	0.179	0.137	0.084	0.242	0.224	0.232	0.171	5.101	3.235	
000058	深 赛 格	1.25	7.30	3186392	23053582	-0.129	-0.026	-0.206	-1.553	-0.408	-0.050	0.117	9.735	14.588	
000059	华锦股份	3.60	10.95	31717372	341153440	0.266	0.225	0.083	0.071	0.495	0.463	0.341	162.894	150.466	
000060	中金岭南	2.25	11.35	39570056	445225888	0.242	0.284	-0.086	-0.282	0.190	0.424	0.498	162.077	187.505	
000061	农 产 品					-0.069	-0.095	0.053	0.035	0.059	-0.028	-0.050	16.296	12.020	
000062	深圳华强	1.04	24.25	3451650	83506496	-0.884	-0.629	-0.511	-1.401	-0.867	-0.459	-0.377	-14.496	-14.510	
000063	中兴通讯	-3.62	22.07	96659800	2136469248	0.497	0.724	-0.454	-0.537	0.133	0.384	0.572	135.164	165.390	
000065	北方国际	2.71	22.75	6065176	134786448	-0.596	-0.404	-0.383	-1.104	-0.461	-0.207	-0.081	-8.615	-5.233	
000066	中国长城	3.30	9.09	28989276	260901296	0.127	0.148	-0.042	-0.210	0.270	0.383	0.376	97.491	102.188	
000068	华控赛格	-1.58	6.24	3766820	23431678	-0.169	-0.123	-0.093	-1.135	-0.325	-0.246	-0.167	-2.070	-0.173	
000069	华侨城Ａ	-0.22	9.12	65035960	594458368	0.073	0.189	-0.233	-0.707	-0.112	0.188	0.382	9.202	50.797	
000070	特发信息	0.10	10.14	3228376	32831504	-0.320	-0.158	-0.324	-1.684	-0.961	-0.333	-0.079	-16.957	-8.068	
000078	海王生物	1.33	6.08	16572449	99805600	0.039	0.048	-0.019	-0.149	-0.020	0.133	0.114	25.528	46.504	
000088	盐 田 港	1.08	9.35	9518474	88567336	-0.218	-0.079	-0.278	-2.042	-1.282	-0.320	-0.091	-18.102	9.599	
000089	深圳机场	1.24	8.97	7254080	64753712	-0.032	0.045	-0.155	-0.517	-0.059	0.023	0.124	4.161	8.633	
000090	天健集团	1.73	11.20	18244348	202448992	0.240	0.296	-0.112	-0.162	0.442	0.416	0.381	65.411	80.317	
000096	广聚能源	2.06	13.84	1431528	19635202	-0.276	-0.181	-0.191	-0.938	-0.368	-0.208	-0.098	-2.859	-3.635	
000099	中信海直					-0.284	-0.228	-0.112	-1.540	-1.069	-0.359	-0.244	-18.692	-15.225	
000100	TCL 集团					-0.010	0.001	-0.023	-0.354	-0.102	-0.007	0.019	175.145	187.543	
000150	宜华健康	0.00	24.28	927603	22385088	-0.201	-0.222	0.040	-0.547	-0.177	-0.099	-0.128	-1.849	-1.986	
000151	中成股份	1.19	17.07	4360247	74061944	-0.462	-0.227	-0.470	-1.320	-0.701	-0.265	-0.106	-33.446	-11.084	
000153	丰原药业	-2.83	9.62	8654060	82512264	-0.696	-0.304	-0.783	-1.208	-0.541	-0.565	-0.100	7.082	7.208	
000156	华数传媒	0.43	13.97	2308691	32131674	-0.178	-0.085	-0.186	-0.605	-0.207	-0.075	0.014	-4.248	-1.233	
000157	中联重科	2.19	4.67	76519168	354096864	0.044	0.032	0.023	0.119	0.167	0.141	0.126	183.874	138.063	
000158	常山股份	1.41	10.80	13979110	193997840	-0.159	0.020	-0.359	-2.355	-0.663	-0.103	0.116	23.001	19.816	
000159	国际实业	0.97	6.26	7083802	43703028	-0.072	-0.018	-0.108	-0.846	0.004	0.081	0.143	26.772	37.610	
000166	申万宏源	0.00	5.62	29512224	165532112	0.030	0.032	-0.003	-0.010	0.160	0.125	0.099	38.727	52.596	
000301	东方市场					-0.002	0.008	-0.020	-0.197	-0.042	0.027	0.065	33.788	36.168	
000333	美的集团	-1.58	41.00	37581524	1540916096	0.594	0.973	-0.758	-0.273	0.089	0.242	0.423	55.065	46.442	
000338	潍柴动力	-0.88	6.72	64209928	872676032	0.242	0.250	-0.016	-0.089	0.587	0.650	0.725	228.785	250.491	
000400	许继电气	-1.00	16.79	6703549	111866016	0.137	0.266	-0.259	-0.640	0.224	0.272	0.352	22.226	26.526	
000401	冀东水泥	2.59	15.06	42923648	644850304	-0.227	-0.185	-0.083	-0.597	0.040	-0.069	-0.176	44.205	80.844	
000402	金 融 街	1.93	12.17	31540488	380290624	0.127	0.092	0.069	0.025	-0.022	0.116	0.112	86.944	38.213	
000403	ST生化					0.407	0.023	0.769	0.824	0.392	0.179	-0.043	6.674	5.795	
000404	华意压缩	0.00	7.11	16486523	116124128	-0.126	-0.058	-0.135	-1.111	-0.176	-0.063	0.018	-9.524	0.306	
000407	胜利股份	-0.62	8.03	9518563	75436312	-0.351	-0.218	-0.267	-1.580	-0.868	-0.448	-0.259	-49.436	-43.865	
000408	藏格控股	0.60	13.40	2397801	31715928	-0.099	-0.072	-0.055	-0.537	-0.038	-0.032	-0.000	4.634	3.611	
000409	山东地矿	-0.73	6.84	12844108	87006296	-0.621	-0.340	-0.563	-2.284	-0.656	-0.616	-0.216	-8.156	16.286	
000410	*ST沈机	4.51	8.35	10997524	89443536	0.276	0.188	0.176	0.828	0.630	0.653	0.376	13.831	10.861	
000411	英特集团	1.28	20.54	388500	7931392	-0.122	-0.024	-0.196	-0.467	-0.048	0.006	0.009	0.420	0.957	
000413	东旭光电	2.71	10.60	84690936	886404992	0.134	0.280	-0.292	-1.127	0.210	0.417	0.574	231.417	368.486	
000415	渤海金控	2.89	6.76	23642208	158264080	0.072	0.081	-0.018	-0.071	0.377	0.250	0.244	77.740	74.793	
000416	民生控股	0.27	7.52	5134900	37833896	-0.113	-0.065	-0.097	-0.719	-0.144	-0.068	-0.007	-3.364	-0.027	
000417	合肥百货	1.36	8.17	3608809	29311774	0.048	0.076	-0.056	-0.165	0.246	0.196	0.210	16.891	18.814	
000418	小天鹅Ａ	0.95	44.57	1148480	50824940	-0.583	-0.375	-0.415	-0.486	-0.304	-0.223	-0.168	-9.404	-9.386	
000419	通程控股	1.72	6.52	2738457	17984380	-0.062	-0.019	-0.086	-0.854	-0.179	-0.013	0.066	4.152	7.540	
000420	吉林化纤	3.34	3.40	20901628	70516528	0.056	0.020	0.072	0.328	0.212	0.259	0.087	112.182	85.142	
000421	南京公用	1.04	6.82	2198446	14894863	-0.055	-0.006	-0.098	-0.881	-0.187	0.005	0.097	4.419	6.285	
000422	湖北宜化	2.66	6.17	21395382	130174560	0.092	0.082	0.021	0.101	0.301	0.312	0.255	131.960	126.641	
000423	东阿阿胶	0.38	65.70	5473264	357691648	-0.587	-0.047	-1.081	-0.500	-0.295	-0.118	0.041	-14.809	-7.063	
000425	徐工机械	0.79	3.83	65025032	246401840	0.077	0.078	-0.003	0.113	0.438	0.405	0.397	297.250	341.049	
000426	兴业矿业	1.46	9.04	16257547	146548688	0.253	0.289	-0.072	-0.440	0.291	0.540	0.600	68.053	73.490	
