历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000060	中金岭南	0.17	12.10	66331452	809123712	0.336	0.299	0.074	0.203	0.059	0.426	0.450	262.769	218.570	
000061	农 产 品					-0.069	-0.095	0.053	0.035	0.059	-0.028	-0.050	16.296	12.020	
000062	深圳华强	4.13	25.97	7479033	194888384	-0.812	-0.708	-0.208	-0.606	-0.879	-0.499	-0.412	-14.449	-14.475	
000063	中兴通讯	1.31	23.97	50853688	1207725952	0.509	0.578	-0.138	-0.020	-0.178	0.268	0.392	120.504	140.952	
000065	北方国际	1.00	25.25	6234324	156764688	-0.183	-0.361	0.357	-0.595	-0.592	-0.181	-0.164	6.501	-1.621	
000066	中国长城	4.03	9.55	38030956	355812288	0.121	0.127	-0.011	-0.292	-0.021	0.272	0.369	115.489	101.813	
000068	华控赛格	0.95	6.37	3249551	20521034	-0.178	-0.151	-0.053	-0.916	-0.718	-0.344	-0.241	-4.289	-2.233	
000069	华侨城Ａ	-2.01	9.27	44360180	415713664	0.021	0.100	-0.159	-0.276	-0.335	0.019	0.196	30.863	37.259	
000070	特发信息	0.57	10.60	3367062	35677708	-0.289	-0.246	-0.086	-1.030	-1.231	-0.456	-0.302	-12.365	-13.245	
000078	海王生物	0.17	6.04	12671909	76394704	0.012	0.032	-0.041	-0.178	-0.086	0.066	0.119	27.422	28.381	
000088	盐 田 港	2.61	9.45	15743644	147768144	-0.273	-0.187	-0.174	-1.215	-1.403	-0.472	-0.308	-94.811	-46.762	
000089	深圳机场	0.11	9.19	6857610	63089072	-0.051	-0.012	-0.078	-0.273	-0.256	-0.092	0.027	24.624	8.098	
000090	天健集团	4.39	11.88	24734110	289491840	0.188	0.232	-0.088	0.109	0.259	0.275	0.385	77.115	67.462	
000096	广聚能源	-0.49	14.19	630211	8923109	-0.211	-0.209	-0.004	-0.488	-0.492	-0.240	-0.184	-3.411	-3.499	
000099	中信海直					-0.284	-0.228	-0.112	-1.540	-1.069	-0.359	-0.244	-18.692	-15.225	
000100	TCL 集团					-0.010	0.001	-0.023	-0.354	-0.102	-0.007	0.019	175.145	187.543	
000150	宜华健康	-0.04	25.60	3858708	100234000	-0.000	-0.152	0.304	-0.173	-0.348	-0.047	-0.094	3.194	-0.713	
000151	中成股份	0.73	18.02	5352332	97143264	-0.461	-0.384	-0.154	-0.675	-0.888	-0.411	-0.257	-19.669	-24.187	
000153	丰原药业	-0.73	9.56	4335407	41248336	-0.887	-0.626	-0.522	-1.354	-1.006	-1.063	-0.546	-1.475	6.096	
000156	华数传媒	0.00	14.30	1777078	25305700	-0.191	-0.151	-0.079	-0.346	-0.373	-0.177	-0.073	-4.773	-5.767	
000157	中联重科	0.63	4.82	57967852	279722944	0.084	0.056	0.055	0.467	0.242	0.241	0.160	285.198	222.406	
000158	常山股份	1.22	10.75	23416344	246750640	-0.286	-0.143	-0.287	-2.344	-1.554	-0.356	-0.104	-61.293	-11.600	
000159	国际实业	-0.31	6.41	5598200	35743256	-0.126	-0.076	-0.099	-0.815	-0.401	-0.152	0.054	17.990	20.566	
000166	申万宏源	0.00	5.84	41356128	242482336	0.061	0.046	0.029	0.261	0.197	0.163	0.133	154.074	110.176	
000301	东方市场					-0.002	0.008	-0.020	-0.197	-0.042	0.027	0.065	33.788	36.168	
000333	美的集团	3.63	43.42	60522160	2602473472	0.555	0.699	-0.287	0.166	-0.144	0.131	0.253	63.259	52.934	
000338	潍柴动力	0.14	6.92	139419520	954841600	0.256	0.256	-0.000	0.227	0.236	0.624	0.668	200.945	240.431	
000400	许继电气	1.46	17.33	5688974	98410720	0.023	0.134	-0.221	-0.536	-0.260	0.083	0.257	30.227	25.912	
000401	冀东水泥	0.06	15.62	43393212	673088832	-0.246	-0.224	-0.044	-0.828	-0.289	-0.155	-0.099	115.115	75.977	
000402	金 融 街	1.73	12.36	26051328	320307200	0.206	0.151	0.110	0.234	0.048	0.224	0.137	105.780	85.946	
000403	ST生化					0.407	0.023	0.769	0.824	0.392	0.179	-0.043	6.674	5.795	
000404	华意压缩	0.96	7.36	8424051	61854152	-0.159	-0.116	-0.086	-0.894	-0.671	-0.244	-0.075	1.622	-5.017	
000407	胜利股份	8.68	8.51	17285612	138748864	-0.420	-0.340	-0.160	-1.338	-1.187	-0.693	-0.461	-44.206	-51.190	
000408	藏格控股	0.14	13.90	3706052	51889016	-0.007	-0.050	0.085	-0.024	-0.170	-0.013	-0.016	9.771	6.910	
000409	山东地矿	1.29	7.04	5274624	36972688	-0.758	-0.571	-0.373	-2.215	-1.610	-1.142	-0.618	-6.804	-6.300	
000410	*ST沈机	0.95	8.52	7502677	64079524	0.303	0.253	0.100	1.232	1.050	0.714	0.615	15.255	12.381	
000411	英特集团	-0.91	20.80	380901	7936865	-0.210	-0.126	-0.169	-0.412	-0.178	-0.105	-0.013	1.269	0.663	
000413	东旭光电	2.71	11.37	115142736	1294627072	0.099	0.170	-0.142	-0.699	-0.386	0.176	0.418	482.936	328.002	
000415	渤海金控	3.60	7.19	58024024	417118336	0.115	0.090	0.049	0.341	0.278	0.250	0.256	130.085	91.548	
000416	民生控股	1.82	8.93	23117128	207308832	0.055	-0.044	0.198	0.502	-0.101	-0.026	-0.047	24.818	5.150	
000417	合肥百货	1.80	8.50	6868324	58053044	0.049	0.056	-0.015	-0.104	0.062	0.118	0.190	26.959	20.418	
000418	小天鹅Ａ	3.13	45.50	3058313	137823344	-0.580	-0.516	-0.127	-0.168	-0.360	-0.248	-0.220	-6.405	-8.632	
000419	通程控股	0.45	6.76	3547257	23936846	-0.055	-0.044	-0.023	-0.611	-0.465	-0.102	-0.008	3.548	3.454	
000420	吉林化纤	1.48	3.43	17831896	61039808	0.081	0.054	0.054	0.366	0.362	0.426	0.256	116.067	112.666	
000421	南京公用	1.00	7.07	3026781	21346196	-0.052	-0.035	-0.034	-0.399	-0.443	-0.091	0.012	5.370	4.424	
000422	湖北宜化	0.30	6.75	56943696	386906656	0.179	0.121	0.117	0.624	0.397	0.408	0.326	202.287	159.340	
000423	东阿阿胶	-0.95	65.82	7258151	479410336	-0.586	-0.354	-0.464	-0.191	-0.401	-0.176	-0.095	-4.488	-8.525	
000425	徐工机械	1.51	4.03	112058136	451253344	0.092	0.084	0.016	0.221	0.320	0.391	0.408	504.261	384.254	
000426	兴业矿业	1.96	9.90	34038628	336813760	0.340	0.304	0.073	-0.110	-0.017	0.544	0.564	126.784	91.491	
000428	华天酒店	0.21	4.87	3456257	16800912	-0.099	-0.082	-0.034	-0.731	-0.584	-0.247	-0.118	3.954	-0.549	
000429	粤高速Ａ	4.03	9.29	42795224	394617568	0.162	0.072	0.180	0.347	-0.128	0.137	-0.054	43.733	16.557	
000430	张家界	0.78	10.28	1174280	12015583	-0.112	-0.078	-0.068	-0.552	-0.488	-0.154	-0.052	0.464	2.578	
000488	晨鸣纸业	-1.41	16.14	55974476	913298112	0.962	0.868	0.187	1.605	1.308	1.103	1.093	294.449	260.355	
000498	山东路桥	1.21	8.35	15926125	134475952	0.330	0.232	0.195	0.934	0.624	0.678	0.418	98.308	88.249	
000501	鄂武商Ａ	0.81	17.52	7998364	139589024	-0.047	-0.001	-0.091	-0.380	-0.567	-0.105	0.009	15.561	7.154	
000502	绿景控股	-0.09	11.00	1885201	20745598	-0.473	-0.369	-0.208	-1.335	-0.959	-0.486	-0.264	-3.374	-5.871	
000503	海虹控股					-2.068	-1.510	-1.118	-2.046	-1.169	-0.637	-0.493	-29.618	-7.885	
000504	南华生物	0.20	19.74	1657998	32794064	-0.280	0.106	-0.773	-2.011	-0.587	-0.113	0.206	0.806	-4.254	
000505	珠江控股	0.63	9.56	2861540	27172560	-0.137	-0.146	0.018	-0.515	-0.431	-0.176	-0.186	-8.536	-6.115	
000506	中润资源					-0.304	-0.158	-0.293	-1.592	-1.178	-0.386	-0.140	21.467	25.998	
000507	珠海港	3.10	10.97	45231932	490810112	-0.282	-0.069	-0.425	-1.860	-1.710	-0.405	-0.068	-164.559	-65.391	
000509	华塑控股					-0.067	-0.066	-0.002	-1.107	-0.408	-0.127	-0.117	0.296	1.703	
