历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
000001	平安银行	0.46	11.00	195476832	2172114688	0.512	0.435	0.155	12.736	11.157	82.555	143110528.0	129377944.0	
000002	万 科Ａ	-2.27	23.26	36265480	849637888	0.504	0.791	-0.573	98.851	58.503	-190.014	127429864.0	128231488.0	
000004	国农科技	0.14	21.40	789543	16929426	-2.548	-2.689	0.281	78.431	87.585	-68.558	4067453.3	4172471.5	
000005	世纪星源	-1.22	4.86	3417052	16663863	-0.114	-0.096	-0.036	79.412	82.927	-64.400	23907420.0	23907688.0	
000006	深振业Ａ	0.70	8.59	11431717	97475672	-0.025	-0.026	0.001	12.346	33.645	55.410	56938616.0	56807696.0	
000007	全新好	0.12	16.62	6379205	105571864	-0.321	-0.366	0.090	24.750	24.750	45.273	6163280.0	5820584.0	
000008	神州高铁	-2.21	7.53	5770348	43798012	0.055	0.022	0.067	31.169	31.169	92.957	9196613.0	8891861.0	
000009	中国宝安	-1.17	8.45	42194736	352939872	0.103	0.071	0.063	19.672	19.672	69.589	68155480.0	66765972.0	
000010	美丽生态	-0.82	4.82	3706800	17937096	-0.117	-0.104	-0.027	72.368	72.368	-43.890	7795296.0	7794935.0	
000011	深物业A	-2.00	19.12	8333333	159805616	-0.153	-0.112	-0.083	41.304	64.935	-3.582	21993908.0	21925242.0	
000012	南 玻Ａ	-0.82	8.45	18072512	153396656	0.145	0.123	0.044	50.000	37.500	25.589	45237896.0	45314236.0	
000014	沙河股份	0.71	16.93	1607596	27089256	-0.128	-0.152	0.048	50.862	72.330	17.581	10099367.0	10149657.0	
000016	深康佳Ａ	2.92	5.28	22701760	118392384	0.103	0.130	-0.055	40.000	30.476	-12.002	40316472.0	39812712.0	
000017	深中华A	-1.38	7.88	2157800	17013780	-0.240	-0.185	-0.109	76.398	77.246	-63.192	6939280.5	6958719.0	
000018	神州长城	0.55	7.31	14755244	107704336	-0.179	-0.170	-0.019	63.000	73.188	-30.208	4833521.0	4943306.0	
000019	深深宝Ａ	-2.67	11.28	12237062	139594784	-0.193	-0.106	-0.175	63.670	70.245	-36.823	19538054.0	19378154.0	
000020	深华发Ａ					-0.871	-0.695	-0.353	77.230	84.985	-111.148	4313078.0	4367112.5	
000021	深科技	-0.72	8.32	6160614	51379056	-0.063	-0.033	-0.060	57.778	57.778	-30.522	35755876.0	35729388.0	
000022	深赤湾Ａ	-1.24	27.84	6399239	180699664	-0.055	0.221	-0.552	79.109	88.000	-54.849	7159533.5	7434009.5	
000023	深天地Ａ	-1.97	24.88	670400	16734686	-0.051	0.188	-0.477	71.046	69.565	-104.008	3298393.5	3350351.5	
000025	特 力Ａ	5.42	50.35	11753036	579862336	1.046	1.617	-1.141	42.009	27.380	6.554	8707253.0	8540446.0	
000026	飞亚达Ａ	-1.64	11.41	3316805	37983212	-0.302	-0.204	-0.195	75.385	75.385	-52.431	10693105.0	10600521.0	
000027	深圳能源	-0.90	6.61	8646816	57348048	-0.017	0.001	-0.037	64.286	68.750	-52.991	47548232.0	47284208.0	
000028	国药一致	-0.85	77.32	549183	42547900	-0.187	0.220	-0.813	73.903	73.903	-56.504	1136082.8	1181896.6	
000029	深深房Ａ					-0.013	0.034	-0.094	37.374	73.276	37.449	25839494.0	25273098.0	
000030	富奥股份	-0.54	9.27	6768132	62390168	0.133	0.099	0.068	15.652	15.652	153.182	19575582.0	19364902.0	
000031	中粮地产					0.004	-0.010	0.028	9.174	9.174	142.352	69703568.0	69015664.0	
000032	深桑达Ａ					0.135	0.099	0.073	34.266	34.510	41.441	6833944.0	6794280.5	
000034	神州数码	-0.11	17.90	3699899	66146324	-1.095	-0.382	-1.427	96.608	96.974	-110.160	10942193.0	11109965.0	
000035	中国天楹	1.22	6.63	6519545	43250316	-0.095	-0.068	-0.054	43.617	47.000	-26.593	11074311.0	11155482.0	
000036	华联控股	4.24	12.04	119494320	1401213184	0.672	0.358	0.627	10.188	9.429	166.736	45577536.0	39832900.0	
000037	深南电A	-0.81	9.81	2668881	25880988	-0.059	-0.020	-0.077	76.667	84.559	-116.486	10813278.0	10889224.0	
000038	深大通					-1.003	-0.936	-0.135	78.342	88.575	-236.297	2348405.0	2384673.5	
000039	中集集团	-1.25	18.19	21179794	385745088	0.266	0.229	0.075	28.977	22.667	121.333	27635196.0	26804332.0	
000040	东旭蓝天	1.72	12.44	4179818	51476016	-0.116	-0.023	-0.186	66.471	66.471	-71.402	13982308.0	13959082.0	
000042	中洲控股	-1.10	17.07	667600	11487280	-0.056	-0.148	0.185	31.852	31.852	152.483	7973961.0	7949150.5	
000043	中航地产	1.41	10.77	4821154	51700388	0.217	0.255	-0.075	44.118	28.302	-19.633	23344934.0	23078390.0	
000045	深纺织Ａ	-0.84	10.66	3144700	33636252	-0.324	-0.255	-0.138	72.581	79.600	-58.177	10290944.0	10399607.0	
000046	泛海控股	-1.61	8.54	12652388	107767696	0.023	-0.005	0.056	52.326	52.326	111.476	26306944.0	26218362.0	
000048	康达尔	-0.08	24.76	122609	3030904	-0.526	-0.410	-0.231	81.818	81.818	-93.015	6329520.0	6341771.0	
000049	德赛电池	3.16	54.80	5503883	300419584	0.040	-0.074	0.229	38.005	36.866	53.721	6115983.0	5987226.0	
000050	深天马Ａ	-2.15	22.35	45117040	1024658432	0.980	0.834	0.292	23.741	14.431	110.092	31926308.0	30101362.0	
000055	方大集团	-0.70	7.07	5145895	36361264	-0.092	-0.095	0.006	71.930	77.143	-39.830	13699022.0	13559896.0	
000056	皇庭国际	0.63	12.81	1326680	16754757	0.267	0.215	0.104	23.140	15.054	66.545	5897789.0	5796675.5	
000058	深 赛 格	-1.86	7.38	3267304	24299742	-0.187	-0.127	-0.120	84.314	85.455	-64.503	25203702.0	25236376.0	
000059	华锦股份	2.53	12.56	80357488	992892160	0.533	0.375	0.317	10.359	8.254	132.887	30588146.0	27538152.0	
000060	中金岭南	0.74	12.19	62784300	756263040	0.354	0.310	0.088	17.262	14.356	117.831	61087716.0	55994160.0	
000061	农 产 品					-0.069	-0.095	0.053	22.951	41.379	13.283	25037628.0	24955562.0	
000062	深圳华强	-2.31	25.37	4610923	117615240	-0.785	-0.723	-0.123	55.769	73.256	-38.707	17113046.0	17161258.0	
000063	中兴通讯	-3.55	23.12	57363812	1349045888	0.462	0.555	-0.187	42.230	42.169	38.109	67349944.0	66104392.0	
000065	北方国际	-2.02	24.74	6221880	156222144	-0.133	-0.316	0.366	24.476	33.058	66.768	7897345.5	7805560.0	
000066	中国长城	-0.94	9.46	38122480	363324032	0.129	0.127	0.004	35.238	24.832	66.955	17851432.0	16342016.0	
000068	华控赛格	-1.26	6.29	2262482	14285560	-0.184	-0.158	-0.052	76.829	82.243	-87.336	4963200.0	5116239.0	
000069	华侨城Ａ	-0.97	9.18	33117752	305077216	-0.003	0.080	-0.165	79.762	80.597	-110.358	89836992.0	89697840.0	
000070	特发信息	0.38	10.64	3233586	34545572	-0.272	-0.251	-0.041	49.718	66.160	-4.017	5913282.0	6097288.5	
000078	海王生物	3.64	6.26	36177844	223194608	0.024	0.030	-0.013	26.531	23.636	30.810	35475348.0	34634620.0	
000088	盐 田 港	-1.27	9.33	10290890	96481704	-0.279	-0.205	-0.147	81.667	92.086	-66.108	49114376.0	49348928.0	
000089	深圳机场	0.11	9.20	6876600	63022056	-0.048	-0.019	-0.058	63.726	63.726	-30.379	23080594.0	22938572.0	
