历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000050	深天马Ａ	-0.55	21.84	41204776	908950272	0.790	0.719	0.142	2.099	2.115	20.292	22.256	18.327	4.223	5.185	9.648	
000055	方大集团	0.71	7.14	6965205	49458732	-0.098	-0.095	-0.008	-0.173	-0.202	7.212	7.463	6.960	0.753	-0.453	-1.529	
000056	皇庭国际	1.65	12.91	3196050	41223884	0.236	0.167	0.138	0.564	0.421	12.141	12.926	11.356	2.787	4.394	6.956	
000058	深 赛 格	0.95	7.46	4885300	36902188	-0.169	-0.075	-0.188	-0.091	0.129	7.975	8.680	7.270	-0.776	-5.059	-7.079	
000059	华锦股份	1.80	11.86	126845584	1544355328	0.364	0.267	0.194	0.947	0.657	10.686	11.890	9.483	5.002	7.193	12.257	
000060	中金岭南	0.42	11.92	84369504	1005649664	0.290	0.283	0.015	0.958	0.973	11.356	11.896	10.815	3.368	3.675	6.101	
000061	农 产 品					-0.069	-0.095	0.053	-0.223	-0.415	8.922	9.245	8.600	1.874	0.938	1.688	
000062	深圳华强					-0.895	-0.682	-0.427	-2.385	-1.397	26.419	28.457	24.380	-1.032	-4.129	-7.069	
000063	中兴通讯	4.01	23.58	96716576	2287340288	0.459	0.625	-0.333	1.792	2.422	23.250	24.418	22.081	2.218	2.211	2.213	
000065	北方国际	8.21	25.31	16375600	409654048	-0.410	-0.434	0.048	-0.686	-0.619	24.229	25.995	22.464	8.009	5.345	3.338	
000066	中国长城	0.22	9.21	22254260	205485872	0.109	0.135	-0.051	0.412	0.425	9.137	9.886	8.388	0.199	-1.418	1.702	
000068	华控赛格	-2.42	6.44	7971957	52018456	-0.164	-0.137	-0.054	-0.377	-0.322	6.761	7.215	6.307	-0.719	-3.085	-5.038	
000069	华侨城Ａ	0.32	9.43	42897360	407394144	0.047	0.140	-0.185	0.392	0.712	9.681	10.223	9.139	0.337	-1.136	-2.191	
000070	特发信息	6.68	10.86	10416881	111737992	-0.310	-0.218	-0.182	-0.543	-0.135	11.154	12.377	9.931	4.239	0.890	-3.720	
000078	海王生物	0.00	6.09	14667289	89391864	0.027	0.042	-0.029	0.192	0.178	6.096	6.330	5.863	-0.571	-1.123	-0.103	
000088	盐 田 港	-0.84	9.42	17718706	168599328	-0.249	-0.137	-0.223	-0.387	0.002	10.132	11.257	9.007	-1.516	-3.648	-8.570	
000089	深圳机场	-0.11	9.08	12433972	112375888	-0.054	0.011	-0.130	0.042	0.259	9.356	9.817	8.894	-0.092	-2.532	-2.723	
000090	天健集团	1.32	11.52	22801364	265022688	0.195	0.262	-0.134	0.880	0.873	11.422	12.331	10.513	0.014	-1.236	1.431	
000096	广聚能源	0.21	14.25	1064720	15179235	-0.240	-0.205	-0.070	-0.540	-0.314	14.499	15.290	13.708	1.580	-0.245	-2.199	
000099	中信海直					-0.284	-0.228	-0.112	-0.791	-0.475	11.767	12.689	10.845	0.208	-1.802	-4.553	
000100	TCL 集团					-0.010	0.001	-0.023	-0.016	0.006	3.504	3.609	3.400	-1.342	-2.233	-1.977	
000150	宜华健康	-0.04	24.21	765300	18600040	-0.204	-0.215	0.023	-0.522	-0.563	24.388	24.904	23.872	-0.227	-1.130	-0.835	
000151	中成股份	-0.46	17.31	4278192	74277408	-0.529	-0.331	-0.396	-0.886	-0.275	18.590	20.217	16.963	-1.208	-5.146	-8.032	
000153	丰原药业	0.00	9.65	5038003	48614344	-0.830	-0.485	-0.690	-1.700	-0.539	11.950	14.911	8.989	-1.964	-13.942	-20.385	
000156	华数传媒	0.57	14.17	1553972	21970370	-0.206	-0.127	-0.157	-0.280	-0.080	14.672	15.397	13.946	-0.176	-2.427	-3.611	
000157	中联重科	-0.42	4.74	53813696	255416832	0.065	0.043	0.045	0.164	0.121	4.551	4.720	4.383	1.899	3.399	4.665	
000158	常山股份	1.11	10.90	16630154	180367008	-0.230	-0.066	-0.328	-0.326	0.166	11.762	12.906	10.619	-1.149	-4.928	-7.676	
000159	国际实业	0.00	6.36	6703311	42794944	-0.113	-0.050	-0.127	-0.061	0.006	6.772	7.320	6.223	-2.429	-5.778	-5.987	
000166	申万宏源	-0.68	5.87	56628448	333078752	0.055	0.038	0.032	0.176	0.127	5.684	5.886	5.483	1.733	2.295	3.550	
000301	东方市场					-0.002	0.008	-0.020	-0.011	0.024	5.134	5.243	5.025	-0.851	-1.319	-1.343	
000333	美的集团	2.50	42.25	46636660	1940264064	0.498	0.802	-0.608	2.244	3.301	42.424	44.452	40.397	1.283	0.699	-0.099	
000338	潍柴动力	-1.14	6.96	90145552	1280119424	0.264	0.255	0.019	0.780	0.801	6.592	7.060	6.124	2.003	3.597	7.587	
000400	许继电气	0.18	17.07	6141491	105175584	0.053	0.195	-0.284	0.678	0.957	17.566	18.641	16.491	-0.871	-3.186	-1.990	
000401	冀东水泥	1.17	15.58	72363712	1136704000	-0.255	-0.210	-0.090	-0.468	-0.763	15.834	17.164	14.504	-0.352	-2.954	-1.843	
000402	金 融 街	-0.24	12.37	34594244	430670464	0.191	0.124	0.134	0.451	0.365	11.828	12.367	11.289	2.189	4.432	5.127	
000403	ST生化					0.407	0.023	0.769	0.126	-0.930	28.340	30.926	25.754	3.984	5.888	9.364	
000404	华意压缩	0.83	7.30	9575884	69437112	-0.155	-0.092	-0.127	-0.262	-0.170	7.705	8.274	7.135	-0.883	-4.304	-5.394	
000407	胜利股份	-0.50	8.01	5021777	40427720	-0.421	-0.286	-0.269	-0.712	-0.397	9.064	10.224	7.905	-3.918	-8.370	-13.241	
000408	藏格控股	5.93	14.30	7206032	101689080	-0.038	-0.070	0.063	-0.100	-0.128	13.767	14.318	13.215	4.967	4.443	4.335	
000409	山东地矿	-0.42	7.09	11571190	82705744	-0.715	-0.469	-0.492	-1.313	-0.672	8.890	11.142	6.638	-3.252	-14.732	-21.273	
000410	*ST沈机	3.12	8.60	12892641	110980096	0.300	0.225	0.150	1.010	0.606	7.784	8.994	6.574	2.748	4.644	11.646	
000411	英特集团	0.05	20.70	294460	6134310	-0.198	-0.082	-0.233	-0.050	0.008	21.365	22.493	20.236	-1.319	-3.181	-3.188	
000413	东旭光电	3.33	11.18	156958080	1765603840	0.096	0.214	-0.236	0.716	1.015	11.268	12.276	10.260	2.397	-1.693	0.525	
000415	渤海金控	3.51	7.08	45379532	317079872	0.091	0.082	0.020	0.318	0.276	6.754	7.097	6.411	3.584	3.307	5.488	
000416	民生控股	9.97	8.27	6907598	54711124	-0.092	-0.082	-0.021	-0.107	-0.084	7.988	8.435	7.541	6.071	3.840	3.133	
000417	合肥百货	0.36	8.33	3806138	31737770	0.039	0.063	-0.048	0.248	0.244	8.330	8.669	7.992	0.503	-0.883	0.488	
000418	小天鹅Ａ	1.10	44.99	3211734	143015376	-0.607	-0.461	-0.292	-1.367	-0.948	45.973	48.927	43.020	0.145	-0.507	-2.959	
000419	通程控股	0.60	6.71	2770378	18586660	-0.064	-0.036	-0.057	-0.019	0.040	6.835	7.157	6.513	0.700	-1.299	-1.924	
000420	吉林化纤	-0.29	3.46	21920220	75573280	0.078	0.039	0.077	0.176	0.050	3.201	3.494	2.908	1.815	5.327	8.734	
000421	南京公用	0.00	7.02	2598130	18255376	-0.056	-0.024	-0.065	0.016	0.092	7.173	7.503	6.842	0.597	-1.416	-2.109	
000422	湖北宜化	0.00	6.43	36168360	233232160	0.122	0.094	0.055	0.352	0.249	6.096	6.484	5.708	2.497	3.473	6.340	
000423	东阿阿胶	1.39	67.20	8221728	548302080	-0.539	-0.235	-0.608	-0.819	0.802	68.334	72.774	63.894	1.608	0.552	-1.875	
000425	徐工机械	-0.75	3.95	95193016	377806816	0.084	0.080	0.008	0.289	0.253	3.816	4.029	3.602	1.369	1.804	4.682	
000426	兴业矿业	0.31	9.67	31683028	305669632	0.301	0.290	0.022	0.933	0.958	9.071	9.730	8.413	3.644	4.484	8.025	
000428	华天酒店	0.42	4.79	3422009	16380015	-0.105	-0.072	-0.067	-0.168	-0.098	5.032	5.351	4.714	-0.965	-4.056	-5.156	
000429	粤高速Ａ	-1.73	9.10	35888244	326679360	0.118	0.030	0.176	0.106	0.023	8.552	9.228	7.877	3.645	6.703	5.911	
000430	张家界	0.30	10.18	1485300	15170354	-0.115	-0.057	-0.115	-0.034	0.124	10.497	10.951	10.042	-0.326	-2.233	-3.419	
000488	晨鸣纸业	-0.96	15.40	42148720	651263168	0.870	0.822	0.097	2.759	2.279	14.036	16.393	11.680	2.382	3.593	12.566	
000498	山东路桥	-0.95	8.30	17729736	146600064	0.302	0.181	0.243	0.639	0.276	7.440	8.403	6.478	2.702	8.003	12.485	
000501	鄂武商Ａ	-1.68	16.94	10424976	177280848	-0.097	0.032	-0.258	0.246	0.702	17.573	18.682	16.465	-0.206	-1.712	-3.659	
000502	绿景控股	1.11	10.97	2711340	30066304	-0.454	-0.312	-0.284	-0.698	-0.462	12.003	13.281	10.726	-2.417	-7.647	-9.572	
000503	海虹控股					-2.068	-1.510	-1.118	-5.057	-4.181	32.491	37.506	27.476	-16.946	-20.754	-24.440	
000504	南华生物	-2.01	19.98	2402117	48190208	-0.078	0.302	-0.760	0.914	1.876	21.669	23.833	19.505	-4.065	-8.205	-7.287	
000505	珠江控股	-0.82	9.69	2795700	27247332	-0.128	-0.151	0.047	-0.526	-0.553	9.819	10.241	9.398	0.017	0.060	-1.574	
000506	中润资源					-0.304	-0.158	-0.293	-0.522	-0.077	9.908	11.079	8.738	-4.092	-8.608	-12.163	
000507	珠海港	-1.53	10.93	41052560	453436160	-0.202	0.045	-0.494	0.137	0.914	12.186	13.803	10.570	-3.103	-6.495	-11.465	
000509	华塑控股					-0.067	-0.066	-0.002	-0.150	-0.140	6.122	6.269	5.974	1.046	0.246	-0.163	
000510	金路集团	-1.15	10.30	33814656	357041632	0.481	0.437	0.087	1.476	1.177	9.503	10.662	8.345	3.155	4.295	11.061	
000513	丽珠集团	-1.29	48.81	2259883	110857472	-0.055	0.201	-0.512	0.341	1.485	50.120	52.221	48.019	-0.960	-1.488	-2.673	
000514	渝 开 发	-1.55	8.87	33356988	298962784	0.323	0.168	0.308	0.629	0.188	7.891	9.056	6.727	1.759	8.524	13.162	
000516	国际医学	2.58	5.17	18322506	94758216	-0.157	-0.124	-0.066	-0.243	-0.256	5.412	5.841	4.984	0.518	-2.713	-5.072	
000517	荣安地产	5.47	4.63	18561528	84623792	-0.051	-0.043	-0.015	-0.100	-0.064	4.577	4.819	4.336	3.541	2.377	0.798	
000518	四环生物	-0.64	7.75	2807931	21833524	0.109	0.111	-0.004	0.373	0.351	7.657	8.036	7.278	-0.129	0.172	2.367	
000519	中兵红箭	2.37	12.09	18917468	227708080	-0.162	0.000	-0.326	0.145	0.377	12.807	14.229	11.386	-1.266	-6.249	-5.118	
000520	长航凤凰	-0.36	5.57	4540501	25421288	-0.110	-0.089	-0.042	-0.180	-0.134	5.781	6.066	5.497	-0.948	-2.707	-4.193	
000521	美菱电器	0.17	5.98	7012026	41999760	-0.071	-0.016	-0.109	0.017	0.140	6.279	6.772	5.785	-0.111	-3.001	-4.530	
000523	广州浪奇	-0.10	9.55	2723670	26034452	-0.073	-0.037	-0.072	-0.047	0.068	9.741	10.152	9.331	0.298	-1.190	-2.135	
000524	岭南控股	-0.40	12.39	2023900	25204888	-0.091	-0.049	-0.083	-0.006	0.130	12.694	13.347	12.041	-1.144	-2.255	-2.601	
000525	红 太 阳	0.11	18.68	4081894	75803104	0.292	0.295	-0.006	1.149	0.990	18.155	19.030	17.280	2.468	1.923	4.091	
000526	*ST紫学	-2.25	31.65	1715546	55228096	-0.313	-1.043	1.460	-2.995	-4.953	29.475	32.755	26.194	-0.011	4.842	7.294	
000528	柳 工	-0.86	9.25	24098596	223489440	0.248	0.206	0.085	0.694	0.577	8.764	9.329	8.199	1.928	3.835	6.767	
000529	广弘控股	0.12	8.15	2804927	22946702	-0.255	-0.139	-0.233	-0.343	-0.227	8.979	9.851	8.107	-4.585	-8.777	-9.603	
000530	大冷股份	0.42	7.19	7253477	52287664	0.050	0.098	-0.096	0.423	0.390	7.347	7.788	6.906	-0.713	-2.860	-1.157	
000531	穗恒运Ａ					-0.178	-0.088	-0.179	-0.152	0.035	9.415	10.108	8.723	0.298	-3.229	-4.880	
000532	华金资本	2.03	12.58	6723962	83902088	-0.505	-0.307	-0.396	-0.715	-0.224	13.841	15.554	12.128	-0.776	-6.434	-9.810	
000533	万 家 乐	-0.28	10.81	3026305	32571264	0.123	0.162	-0.078	0.515	0.587	10.826	11.546	10.106	-0.154	-1.601	0.859	
