历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000050	深天马Ａ	3.34	21.96	58539256	1268541184	0.742	0.702	0.081	2.058	2.087	20.084	22.228	17.940	6.164	6.271	11.199	
000055	方大集团	1.72	7.09	6977475	49235576	-0.105	-0.094	-0.023	-0.182	-0.215	7.220	7.474	6.967	0.259	-1.299	-2.420	
000056	皇庭国际	2.42	12.70	2324117	29276624	0.203	0.150	0.105	0.525	0.385	12.077	12.805	11.349	2.131	3.238	5.628	
000058	深 赛 格	1.23	7.39	3299601	24226284	-0.156	-0.052	-0.207	-0.026	0.155	8.004	8.666	7.342	-2.742	-6.613	-8.464	
000059	华锦股份	6.39	11.65	70506720	798050432	0.313	0.243	0.142	0.865	0.584	10.582	11.718	9.446	4.235	6.279	11.023	
000060	中金岭南	4.58	11.87	107401600	1260688512	0.268	0.281	-0.026	0.948	0.970	11.288	11.868	10.708	3.502	3.812	6.168	
000061	农 产 品					-0.069	-0.095	0.053	-0.223	-0.415	8.922	9.245	8.600	1.874	0.938	1.688	
000062	深圳华强	2.85	24.94	4830865	119120568	-0.895	-0.682	-0.427	-2.385	-1.397	26.419	28.457	24.380	-1.032	-4.129	-7.069	
000063	中兴通讯	2.72	22.67	57064872	1274264704	0.438	0.667	-0.458	1.888	2.578	23.191	24.407	21.974	-1.606	-1.399	-1.351	
000065	北方国际	2.81	23.39	5681654	131979728	-0.581	-0.440	-0.283	-0.711	-0.646	24.236	26.021	22.452	1.102	-2.426	-4.526	
000066	中国长城	1.10	9.19	23496306	214259376	0.117	0.141	-0.049	0.460	0.395	9.102	9.900	8.305	-0.361	-1.711	1.809	
000068	华控赛格	5.77	6.60	10070889	65560972	-0.160	-0.130	-0.060	-0.364	-0.317	6.781	7.210	6.352	1.124	-1.198	-2.965	
000069	华侨城Ａ	3.07	9.40	49896192	464053408	0.058	0.163	-0.211	0.450	0.778	9.685	10.221	9.149	-0.582	-1.622	-2.469	
000070	特发信息	0.39	10.18	4509427	45573620	-0.347	-0.196	-0.302	-0.492	-0.051	11.191	12.423	9.960	-2.084	-5.806	-10.024	
000078	海王生物	0.16	6.09	17703872	106878888	0.033	0.045	-0.025	0.197	0.168	6.094	6.329	5.858	-0.787	-1.029	-0.109	
000088	盐 田 港	1.60	9.50	16030754	151336592	-0.233	-0.110	-0.247	-0.295	0.097	10.200	11.308	9.092	-1.588	-3.308	-8.408	
000089	深圳机场	1.34	9.09	11034733	99666944	-0.044	0.027	-0.143	0.108	0.288	9.358	9.813	8.904	-0.529	-2.746	-2.772	
000090	天健集团	1.52	11.37	19473548	219672144	0.209	0.279	-0.139	0.894	0.849	11.383	12.340	10.426	-2.403	-2.236	0.364	
000096	广聚能源	2.75	14.22	1249101	17714538	-0.259	-0.196	-0.125	-0.502	-0.278	14.522	15.309	13.735	1.499	-0.762	-2.628	
000099	中信海直					-0.284	-0.228	-0.112	-0.791	-0.475	11.767	12.689	10.845	0.208	-1.802	-4.553	
000100	TCL 集团					-0.010	0.001	-0.023	-0.016	0.006	3.504	3.609	3.400	-1.342	-2.233	-1.977	
000150	宜华健康	-0.25	24.22	918980	22175366	-0.203	-0.218	0.029	-0.506	-0.596	24.387	24.905	23.869	-0.240	-1.129	-0.956	
000151	中成股份	1.87	17.39	4268691	73978448	-0.499	-0.281	-0.436	-0.697	-0.172	18.705	20.274	17.135	-1.668	-5.511	-8.073	
000153	丰原药业	0.31	9.65	5545194	53237564	-0.776	-0.399	-0.755	-1.419	-0.343	12.131	14.938	9.324	-4.581	-16.117	-21.195	
000156	华数传媒	0.86	14.09	2566809	35906720	-0.198	-0.108	-0.182	-0.221	-0.060	14.701	15.387	14.014	-1.157	-3.328	-4.334	
000157	中联重科	1.93	4.76	101022768	478131936	0.057	0.037	0.040	0.148	0.114	4.536	4.688	4.383	3.216	4.291	5.446	
000158	常山股份	-0.19	10.78	16995304	184427824	-0.206	-0.025	-0.362	-0.215	0.259	11.806	12.875	10.738	-3.391	-6.868	-8.905	
000159	国际实业	1.60	6.36	8932810	56252536	-0.096	-0.034	-0.124	-0.022	-0.001	6.783	7.305	6.261	-3.563	-6.551	-6.195	
000166	申万宏源	5.16	5.91	101457872	587338944	0.046	0.034	0.023	0.162	0.114	5.670	5.856	5.485	2.872	3.367	4.517	
000301	东方市场					-0.002	0.008	-0.020	-0.011	0.024	5.134	5.243	5.025	-0.851	-1.319	-1.343	
000333	美的集团	0.54	41.22	31519178	1304514816	0.498	0.878	-0.761	2.438	3.586	42.437	44.463	40.411	-0.969	-1.609	-2.227	
000338	潍柴动力	4.76	7.04	114121040	1608569984	0.260	0.252	0.015	0.802	0.802	6.540	7.065	6.014	4.580	5.416	9.771	
