历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000050	深天马Ａ	-2.15	22.35	45117040	1024658432	0.980	0.834	0.292	2.408	2.167	20.874	22.988	18.760	0.797	5.400	9.133	
000055	方大集团	-0.70	7.07	5145895	36361264	-0.092	-0.095	0.006	-0.190	-0.186	7.184	7.453	6.915	0.024	-0.551	-1.783	
000056	皇庭国际	0.63	12.81	1326680	16754757	0.267	0.215	0.104	0.684	0.531	12.313	13.129	11.497	0.457	2.316	4.946	
000058	深 赛 格	-1.86	7.38	3267304	24299742	-0.187	-0.127	-0.120	-0.320	-0.007	7.866	8.639	7.094	-0.494	-3.729	-6.725	
000059	华锦股份	2.53	12.56	80357488	992892160	0.533	0.375	0.317	1.255	0.887	11.063	12.540	9.585	5.354	9.384	15.685	
000060	中金岭南	0.74	12.19	62784300	756263040	0.354	0.310	0.088	1.004	0.971	11.523	12.207	10.839	2.279	4.545	6.754	
000061	农 产 品					-0.069	-0.095	0.053	-0.223	-0.415	8.922	9.245	8.600	1.874	0.938	1.688	
000062	深圳华强	-2.31	25.37	4610923	117615240	-0.785	-0.723	-0.123	-2.695	-1.767	26.243	28.199	24.288	1.210	-1.473	-4.551	
000063	中兴通讯	-3.55	23.12	57363812	1349045888	0.462	0.555	-0.187	1.654	2.037	23.219	24.361	22.076	-0.252	-0.068	-0.584	
000065	北方国际	-2.02	24.74	6221880	156222144	-0.133	-0.316	0.366	-0.475	-0.570	24.271	26.100	22.443	1.366	2.937	1.492	
000066	中国长城	-0.94	9.46	38122480	363324032	0.129	0.127	0.004	0.399	0.458	9.261	9.852	8.670	1.940	1.766	3.459	
000068	华控赛格	-1.26	6.29	2262482	14285560	-0.184	-0.158	-0.052	-0.456	-0.361	6.675	7.198	6.153	-1.333	-3.392	-6.253	
000069	华侨城Ａ	-0.97	9.18	33117752	305077216	-0.003	0.080	-0.165	0.205	0.506	9.594	10.153	9.035	-1.396	-2.746	-4.640	
000070	特发信息	0.38	10.64	3233586	34545572	-0.272	-0.251	-0.041	-0.665	-0.381	10.967	12.081	9.853	1.398	0.599	-4.169	
000078	海王生物	3.64	6.26	36177844	223194608	0.024	0.030	-0.013	0.101	0.173	6.117	6.339	5.896	2.651	1.747	2.700	
000088	盐 田 港	-1.27	9.33	10290890	96481704	-0.279	-0.205	-0.147	-0.580	-0.258	9.889	10.888	8.890	-0.498	-2.542	-7.245	
000089	深圳机场	0.11	9.20	6876600	63022056	-0.048	-0.019	-0.058	-0.099	0.128	9.323	9.790	8.856	0.896	0.082	-1.349	
000090	天健集团	-1.68	11.68	16596998	194282656	0.185	0.223	-0.076	0.673	0.872	11.530	12.352	10.707	1.521	-0.299	2.262	
000096	广聚能源	-0.85	14.07	493500	6986676	-0.209	-0.209	-0.000	-0.616	-0.442	14.406	15.175	13.636	-0.483	-0.477	-2.745	
000099	中信海直					-0.284	-0.228	-0.112	-0.791	-0.475	11.767	12.689	10.845	0.208	-1.802	-4.553	
000100	TCL 集团					-0.010	0.001	-0.023	-0.016	0.006	3.504	3.609	3.400	-1.342	-2.233	-1.977	
000150	宜华健康	0.00	25.60	1698146	43668064	0.070	-0.108	0.355	-0.260	-0.469	24.609	25.584	23.634	2.729	3.784	4.355	
000151	中成股份	-1.55	17.74	4189102	74598984	-0.448	-0.397	-0.102	-1.178	-0.613	18.383	19.965	16.801	0.968	-0.977	-4.334	
000153	丰原药业	-0.73	9.49	3104114	29537056	-0.901	-0.681	-0.439	-2.411	-1.245	11.432	14.676	8.188	-1.146	-8.294	-18.932	
000156	华数传媒	0.63	14.39	2975191	42780820	-0.175	-0.156	-0.039	-0.391	-0.186	14.592	15.333	13.850	1.314	0.197	-1.654	
000157	中联重科	-1.66	4.74	62217272	294709856	0.083	0.061	0.044	0.209	0.148	4.596	4.821	4.371	-0.281	1.862	3.607	
000158	常山股份	-1.67	10.57	10965601	116720720	-0.310	-0.176	-0.269	-0.696	-0.151	11.530	12.850	10.211	-1.552	-4.696	-9.065	
000159	国际实业	-0.94	6.35	5124204	32710152	-0.133	-0.088	-0.091	-0.190	-0.024	6.727	7.341	6.112	-0.183	-3.715	-5.465	
000166	申万宏源	-0.68	5.80	32121446	186787200	0.059	0.049	0.020	0.176	0.155	5.718	5.928	5.508	-0.229	0.418	1.784	
000301	东方市场					-0.002	0.008	-0.020	-0.011	0.024	5.134	5.243	5.025	-0.851	-1.319	-1.343	
000333	美的集团	0.00	43.42	32736712	1417603456	0.620	0.683	-0.127	2.082	2.671	42.225	43.743	40.707	2.887	3.166	2.192	
000338	潍柴动力	-2.02	6.78	101266712	689363520	0.238	0.252	-0.029	0.747	0.778	6.678	7.081	6.275	-1.573	0.271	2.753	
000400	许继电气	-1.27	17.11	4221500	72518456	0.003	0.108	-0.208	0.329	0.785	17.607	18.524	16.689	0.234	-1.770	-2.058	
000401	冀东水泥	-1.66	15.36	37834360	581684544	-0.259	-0.231	-0.056	-0.674	-0.555	15.877	17.144	14.610	-0.507	-3.330	-2.785	
000402	金 融 街	-2.91	12.00	26450144	319975168	0.187	0.158	0.057	0.494	0.395	11.858	12.459	11.258	-1.974	-0.042	1.177	
000403	ST生化					0.407	0.023	0.769	0.126	-0.930	28.340	30.926	25.754	3.984	5.888	9.364	
000404	华意压缩	-1.09	7.28	8849665	64774952	-0.162	-0.125	-0.073	-0.335	-0.215	7.632	8.249	7.015	0.229	-2.587	-4.852	
000407	胜利股份	-1.76	8.36	9506384	80043848	-0.401	-0.352	-0.098	-0.920	-0.585	8.845	10.019	7.671	2.808	-1.551	-7.012	
000408	藏格控股	1.51	14.11	6504558	91808688	0.021	-0.035	0.114	-0.035	-0.112	13.779	14.236	13.322	1.890	2.699	2.488	
000409	山东地矿	-0.57	7.00	4824972	33828220	-0.760	-0.609	-0.302	-1.796	-1.060	8.479	10.963	5.995	-0.095	-8.844	-19.386	
000410	*ST沈机	-3.17	8.25	8956419	74862968	0.280	0.258	0.044	0.952	0.836	7.972	9.115	6.829	-1.980	-1.571	5.353	
000411	英特集团	-0.82	20.63	408422	8444393	-0.231	-0.147	-0.169	-0.287	0.013	21.289	22.490	20.089	-0.458	-2.570	-3.032	
000413	东旭光电	-2.02	11.14	90300088	1007577792	0.091	0.155	-0.126	0.425	0.839	11.312	12.249	10.375	0.997	-0.313	-0.669	
000415	渤海金控	-1.53	7.08	30669184	217955040	0.121	0.096	0.049	0.322	0.307	6.838	7.176	6.500	1.408	2.572	4.399	
000416	民生控股	-1.90	8.76	12048826	105144768	0.097	-0.016	0.226	0.095	-0.041	8.113	8.870	7.356	5.606	7.815	8.215	
000417	合肥百货	-1.06	8.41	4654847	39075728	0.049	0.055	-0.011	0.198	0.257	8.375	8.663	8.088	0.799	0.318	0.981	
000418	小天鹅Ａ	0.11	45.55	2369972	109063712	-0.508	-0.515	0.013	-1.515	-1.206	45.403	47.062	43.743	1.512	0.733	-0.881	
000419	通程控股	-1.18	6.68	3071004	20559106	-0.057	-0.046	-0.021	-0.091	0.006	6.822	7.149	6.495	0.025	-0.853	-2.023	
000420	吉林化纤	-2.04	3.36	12347352	41764832	0.076	0.058	0.036	0.218	0.125	3.250	3.545	2.954	-1.659	0.423	4.402	
000421	南京公用	-0.28	7.05	1767700	12471834	-0.049	-0.038	-0.022	-0.064	0.045	7.132	7.446	6.818	0.762	-0.083	-1.427	
000422	湖北宜化	0.15	6.76	33564620	224057776	0.198	0.136	0.123	0.461	0.330	6.234	6.772	5.695	3.285	5.984	9.703	
000423	东阿阿胶	-4.06	63.15	18453280	1186473344	-0.827	-0.449	-0.758	-1.713	-0.301	67.341	71.326	63.357	-3.979	-4.526	-7.084	
000425	徐工机械	-0.99	3.99	63144212	252040416	0.092	0.085	0.013	0.286	0.276	3.866	4.058	3.674	0.800	1.656	4.223	
000426	兴业矿业	-0.71	9.83	20138228	195665792	0.350	0.313	0.073	0.945	0.943	9.256	9.943	8.569	2.059	4.528	7.618	
000428	华天酒店	-0.21	4.86	2232751	10825206	-0.096	-0.085	-0.022	-0.227	-0.131	5.000	5.336	4.664	1.005	-1.069	-3.050	
000429	粤高速Ａ	-3.23	8.99	23667460	214003264	0.163	0.090	0.146	0.279	0.061	8.602	9.382	7.823	-1.569	2.988	4.338	
000430	张家界	-0.58	10.22	757400	7725299	-0.111	-0.084	-0.053	-0.183	0.023	10.435	10.905	9.965	0.344	-0.761	-2.368	
