历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000050	深天马Ａ	0.18	22.84	35918680	818694784	0.971	0.798	0.346	2.263	2.141	20.712	22.847	18.577	5.157	8.097	12.450	
000055	方大集团	1.42	7.12	9960298	70642800	-0.095	-0.096	0.002	-0.190	-0.189	7.193	7.458	6.928	1.017	-0.234	-1.300	
000056	皇庭国际	-1.77	12.73	1967002	25374880	0.263	0.202	0.123	0.634	0.494	12.252	13.094	11.410	0.487	2.085	4.670	
000058	深 赛 格	0.94	7.52	2983557	22324502	-0.178	-0.112	-0.132	-0.249	0.048	7.906	8.655	7.158	1.782	-2.821	-5.384	
000059	华锦股份	-0.08	12.25	104856848	1302587264	0.477	0.335	0.285	1.132	0.808	10.927	12.321	9.533	5.695	8.184	13.940	
000060	中金岭南	0.17	12.10	66331452	809123712	0.336	0.299	0.074	0.958	0.969	11.469	12.100	10.837	3.096	4.206	6.596	
000061	农 产 品					-0.069	-0.095	0.053	-0.223	-0.415	8.922	9.245	8.600	1.874	0.938	1.688	
000062	深圳华强	4.13	25.97	7479033	194888384	-0.812	-0.708	-0.208	-2.528	-1.577	26.329	28.272	24.385	3.185	0.241	-2.775	
000063	中兴通讯	1.31	23.97	50853688	1207725952	0.509	0.578	-0.138	1.721	2.146	23.261	24.451	22.071	3.579	3.579	3.128	
000065	北方国际	1.00	25.25	6234324	156764688	-0.183	-0.361	0.357	-0.580	-0.588	24.279	26.117	22.441	5.318	4.990	3.395	
000066	中国长城	4.03	9.55	38030956	355812288	0.121	0.127	-0.011	0.385	0.454	9.220	9.863	8.578	4.144	2.725	4.830	
000068	华控赛格	0.95	6.37	3249551	20521034	-0.178	-0.151	-0.053	-0.427	-0.345	6.715	7.234	6.196	-0.209	-2.835	-5.449	
000069	华侨城Ａ	-2.01	9.27	44360180	415713664	0.021	0.100	-0.159	0.284	0.574	9.639	10.203	9.075	-0.358	-2.241	-3.792	
000070	特发信息	0.57	10.60	3367062	35677708	-0.289	-0.246	-0.086	-0.646	-0.304	11.030	12.207	9.853	1.841	-0.220	-4.997	
000078	海王生物	0.17	6.04	12671909	76394704	0.012	0.032	-0.041	0.115	0.179	6.104	6.322	5.887	-0.248	-1.842	-0.821	
000088	盐 田 港	2.61	9.45	15743644	147768144	-0.273	-0.187	-0.174	-0.522	-0.179	9.979	11.084	8.874	0.926	-1.912	-6.763	
000089	深圳机场	0.11	9.19	6857610	63089072	-0.051	-0.012	-0.078	-0.078	0.172	9.336	9.803	8.869	1.416	-0.595	-1.470	
000090	天健集团	4.39	11.88	24734110	289491840	0.188	0.232	-0.088	0.743	0.887	11.498	12.345	10.650	4.272	1.517	4.264	
000096	广聚能源	-0.49	14.19	630211	8923109	-0.211	-0.209	-0.004	-0.602	-0.400	14.450	15.239	13.660	0.972	-0.006	-2.166	
000099	中信海直					-0.284	-0.228	-0.112	-0.791	-0.475	11.767	12.689	10.845	0.208	-1.802	-4.553	
000100	TCL 集团					-0.010	0.001	-0.023	-0.016	0.006	3.504	3.609	3.400	-1.342	-2.233	-1.977	
000150	宜华健康	-0.04	25.60	3858708	100234000	-0.000	-0.152	0.304	-0.361	-0.503	24.538	25.410	23.666	3.644	4.016	4.604	
000151	中成股份	0.73	18.02	5352332	97143264	-0.461	-0.384	-0.154	-1.092	-0.497	18.460	20.061	16.859	3.415	0.023	-3.305	
000153	丰原药业	-0.73	9.56	4335407	41248336	-0.887	-0.626	-0.522	-2.184	-0.992	11.608	14.788	8.427	-1.120	-10.016	-19.299	
000156	华数传媒	0.00	14.30	1777078	25305700	-0.191	-0.151	-0.079	-0.365	-0.146	14.618	15.367	13.869	1.251	-0.740	-2.372	
000157	中联重科	0.63	4.82	57967852	279722944	0.084	0.056	0.055	0.196	0.137	4.584	4.802	4.367	2.011	4.010	5.663	
000158	常山股份	1.22	10.75	23416344	246750640	-0.286	-0.143	-0.287	-0.582	-0.043	11.609	12.875	10.344	0.000	-4.175	-8.071	
000159	国际实业	-0.31	6.41	5598200	35743256	-0.126	-0.076	-0.099	-0.143	-0.005	6.747	7.335	6.158	1.157	-3.573	-4.884	
000166	申万宏源	0.00	5.84	41356128	242482336	0.061	0.046	0.029	0.178	0.147	5.709	5.919	5.499	0.980	1.199	2.644	
000301	东方市场					-0.002	0.008	-0.020	-0.011	0.024	5.134	5.243	5.025	-0.851	-1.319	-1.343	
000333	美的集团	3.63	43.42	60522160	2602473472	0.555	0.699	-0.287	2.189	2.851	42.254	43.886	40.622	3.607	3.533	2.255	
000338	潍柴动力	0.14	6.92	139419520	954841600	0.256	0.256	-0.000	0.743	0.785	6.662	7.074	6.250	0.460	2.379	5.461	
000400	许继电气	1.46	17.33	5688974	98410720	0.023	0.134	-0.221	0.421	0.860	17.622	18.515	16.730	1.672	-0.976	-0.704	
000401	冀东水泥	0.06	15.62	43393212	673088832	-0.246	-0.224	-0.044	-0.612	-0.595	15.868	17.153	14.582	1.925	-2.263	-1.371	
000402	金 融 街	1.73	12.36	26051328	320307200	0.206	0.151	0.110	0.485	0.380	11.854	12.451	11.256	1.049	3.244	4.392	
000403	ST生化					0.407	0.023	0.769	0.126	-0.930	28.340	30.926	25.754	3.984	5.888	9.364	
000404	华意压缩	0.96	7.36	8424051	61854152	-0.159	-0.116	-0.086	-0.311	-0.196	7.661	8.262	7.059	1.728	-2.225	-4.104	
000407	胜利股份	8.68	8.51	17285612	138748864	-0.420	-0.340	-0.160	-0.869	-0.521	8.910	10.117	7.704	5.257	-0.565	-6.097	
000408	藏格控股	0.14	13.90	3706052	51889016	-0.007	-0.050	0.085	-0.060	-0.122	13.783	14.255	13.312	1.337	1.374	1.171	
000409	山东地矿	1.29	7.04	5274624	36972688	-0.758	-0.571	-0.373	-1.643	-0.915	8.616	11.060	6.173	0.739	-10.783	-19.928	
000410	*ST沈机	0.95	8.52	7502677	64079524	0.303	0.253	0.100	0.994	0.775	7.919	9.104	6.735	1.752	1.853	9.342	
000411	英特集团	-0.91	20.80	380901	7936865	-0.210	-0.126	-0.169	-0.156	0.031	21.313	22.477	20.149	0.645	-2.148	-2.447	
000413	东旭光电	2.71	11.37	115142736	1294627072	0.099	0.170	-0.142	0.474	0.907	11.302	12.251	10.354	4.376	0.910	1.681	
000415	渤海金控	3.60	7.19	58024024	417118336	0.115	0.090	0.049	0.312	0.298	6.814	7.147	6.481	4.253	4.304	6.368	
000416	民生控股	1.82	8.93	23117128	207308832	0.055	-0.044	0.198	0.028	-0.060	8.076	8.770	7.383	10.451	10.520	10.674	
000417	合肥百货	1.80	8.50	6868324	58053044	0.049	0.056	-0.015	0.221	0.259	8.363	8.664	8.063	2.595	1.291	2.204	
000418	小天鹅Ａ	3.13	45.50	3058313	137823344	-0.580	-0.516	-0.127	-1.371	-1.135	45.537	47.631	43.444	1.930	0.874	-1.309	
000419	通程控股	0.45	6.76	3547257	23936846	-0.055	-0.044	-0.023	-0.063	0.022	6.832	7.152	6.511	1.910	-0.049	-0.971	
000420	吉林化纤	1.48	3.43	17831896	61039808	0.081	0.054	0.054	0.206	0.100	3.236	3.535	2.937	0.734	3.029	6.923	
000421	南京公用	1.00	7.07	3026781	21346196	-0.052	-0.035	-0.034	-0.042	0.063	7.143	7.462	6.825	1.775	-0.129	-1.234	
000422	湖北宜化	0.30	6.75	56943696	386906656	0.179	0.121	0.117	0.424	0.302	6.191	6.687	5.695	5.140	6.649	10.227	
000423	东阿阿胶	-0.95	65.82	7258151	479410336	-0.586	-0.354	-0.464	-1.230	0.065	67.764	71.669	63.859	-0.499	-1.018	-3.613	
