历史行情.指标排序沪深Ａ股 日期:2017-07-18,二 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000001	平安银行	2.25	10.89	234943184	2558434048	0.454	0.293	0.322	0.930	0.532	9.609	10.928	8.290	3.239	9.907	14.707	
000002	万 科Ａ	2.89	25.30	79183376	2004962432	0.894	0.983	-0.178	2.942	3.370	24.299	27.139	21.459	1.907	2.644	6.472	
000004	国农科技	-3.08	21.07	2478499	51674224	-2.729	-2.776	0.094	-8.382	-8.694	24.998	27.745	22.251	-10.162	-13.606	-17.849	
000005	世纪星源	1.69	4.81	4628224	22091604	-0.102	-0.062	-0.081	-0.121	-0.087	5.186	5.502	4.869	-4.405	-6.024	-7.825	
000006	深振业Ａ	1.11	8.19	9532278	77663040	-0.057	0.011	-0.135	0.077	0.244	8.576	8.948	8.205	-2.423	-3.524	-4.929	
000007	全新好	2.24	14.60	13778573	191060800	-0.457	-0.187	-0.539	-0.725	-0.310	16.638	18.346	14.929	-7.066	-11.332	-12.163	
000008	神州高铁	0.55	7.25	3710437	26530560	-0.017	-0.010	-0.013	0.079	0.008	7.332	7.502	7.161	-1.069	-1.483	-1.209	
000009	中国宝安	2.12	7.72	20349112	155463520	0.015	0.077	-0.125	0.339	0.326	8.071	8.545	7.597	-3.278	-5.053	-3.880	
000010	美丽生态	1.07	4.72	6495745	30344822	-0.102	-0.072	-0.060	-0.120	-0.173	5.083	5.373	4.793	-4.966	-6.827	-7.670	
000011	深物业A	1.96	18.25	6979525	126869744	-0.233	0.044	-0.553	0.113	0.883	19.839	21.476	18.202	-4.250	-5.835	-8.569	
000012	南 玻Ａ	1.60	8.25	11133282	105870528	0.089	0.067	0.045	0.311	0.144	8.135	8.539	7.730	-1.532	0.121	1.768	
000014	沙河股份	2.05	16.89	2327167	39006428	-0.189	-0.168	-0.042	-0.374	-0.295	17.002	17.524	16.480	0.676	-0.039	-1.664	
000016	深康佳Ａ	1.20	5.05	20348784	100707040	0.146	0.170	-0.049	0.562	0.456	5.052	5.676	4.428	-3.932	-4.175	1.042	
000017	深中华A	3.44	7.81	3620250	27868948	-0.193	-0.085	-0.215	-0.199	-0.053	8.613	9.325	7.901	-5.122	-8.333	-9.711	
000018	神州长城	0.57	7.09	11129346	78422656	-0.182	-0.129	-0.105	-0.232	-0.260	7.647	8.185	7.108	-3.494	-5.916	-8.007	
000019	深深宝Ａ	3.68	10.72	10135293	107897560	-0.171	0.073	-0.488	0.368	0.675	12.205	13.544	10.865	-8.141	-10.660	-12.585	
000020	深华发Ａ					-0.871	-0.695	-0.353	-2.306	-1.532	21.031	23.389	18.672	-2.307	-5.146	-9.136	
000021	深科技	1.25	8.10	6005824	48358400	-0.048	0.031	-0.158	0.153	0.301	8.578	8.991	8.165	-3.149	-5.346	-5.512	
000022	深赤湾Ａ	0.46	28.12	5740109	160917360	0.270	0.585	-0.630	1.615	2.587	29.791	32.654	26.927	-3.583	-2.581	-5.409	
000023	深天地Ａ	-0.52	25.05	860754	21344552	0.194	0.469	-0.548	1.461	1.967	26.628	28.222	25.034	-4.426	-5.051	-4.914	
000025	特 力Ａ	2.00	46.00	5936756	272839168	1.311	2.181	-1.740	6.291	7.911	49.711	54.040	45.383	-6.463	-7.043	-6.224	
000026	飞亚达Ａ	0.36	11.21	3795011	42115488	-0.184	-0.034	-0.298	-0.052	0.111	12.417	13.326	11.507	-6.984	-9.286	-9.667	
000027	深圳能源	0.46	6.52	7406863	48117916	-0.002	0.031	-0.065	0.124	0.153	6.743	6.951	6.535	-2.711	-3.562	-3.018	
000028	国药一致	-2.90	75.38	1462180	110828984	0.198	0.898	-1.399	2.804	3.841	79.734	83.424	76.045	-3.754	-5.702	-4.983	
000029	深深房Ａ					-0.013	0.034	-0.094	0.054	0.257	11.278	12.000	10.555	1.545	0.911	-1.183	
000030	富奥股份	2.25	8.64	5970671	50691688	0.048	0.109	-0.122	0.338	0.466	8.794	9.133	8.455	-0.269	-1.855	-1.285	
000031	中粮地产	1.13	7.18	7136523	50934692	-0.037	0.004	-0.081	0.095	0.073	7.504	7.789	7.220	-3.495	-4.553	-4.330	
000032	深桑达Ａ					0.135	0.099	0.073	0.413	0.207	15.276	16.163	14.390	0.512	0.652	3.351	
000034	神州数码	-9.98	22.01	321400	7074014	0.251	0.345	-0.187	1.190	1.372	23.261	25.343	21.180	-6.134	-6.291	-4.284	
000035	中国天楹	-1.80	6.53	11514561	73766696	-0.054	-0.020	-0.069	-0.016	0.018	6.851	7.130	6.572	-3.355	-4.949	-4.712	
000036	华联控股	3.93	9.53	51915644	500399904	0.163	0.119	0.087	0.403	0.334	8.885	9.310	8.459	5.246	6.184	7.633	
000037	深南电A	0.20	9.92	1706100	16843736	-0.021	0.027	-0.095	0.215	0.386	10.207	10.765	9.648	-0.750	-2.049	-2.586	
000038	深大通					-1.003	-0.936	-0.135	-2.652	-2.749	21.966	24.506	19.426	-5.585	-6.976	-11.634	
000039	中集集团	0.94	17.17	13068121	224941088	0.151	0.243	-0.183	0.769	1.055	17.522	18.257	16.788	-1.923	-1.970	-1.659	
000040	东旭蓝天	3.69	12.37	5397361	65580856	0.006	0.104	-0.197	0.367	0.294	12.997	13.763	12.230	-4.503	-4.895	-4.300	
000042	中洲控股	0.06	16.65	587349	9662831	-0.213	-0.235	0.043	-0.637	-0.628	16.794	17.244	16.343	0.160	-0.005	-1.304	
000043	中航地产	2.65	10.44	6764100	69369448	0.289	0.299	-0.019	1.158	0.795	10.300	11.655	8.945	-3.467	-3.266	2.328	
000045	深纺织Ａ	1.86	10.41	3673251	37888740	-0.292	-0.116	-0.352	-0.336	0.095	11.637	12.707	10.566	-5.421	-8.744	-11.146	
000046	泛海控股	-0.12	8.19	3880580	31693770	-0.043	-0.016	-0.052	-0.044	0.059	8.429	8.740	8.118	-0.947	-1.740	-2.645	
000048	康达尔	3.40	25.24	687603	16992696	-0.401	-0.256	-0.291	-0.369	-0.253	26.264	27.543	24.985	-1.847	-3.997	-4.259	
000049	德赛电池	1.79	51.15	2767419	140204032	-0.307	0.038	-0.691	-0.037	-0.022	52.894	56.645	49.143	-1.344	-4.373	-2.878	
000050	深天马Ａ	8.25	21.25	45155008	926413312	0.657	0.691	-0.068	2.020	2.043	19.902	21.994	17.809	4.371	3.406	8.536	
000055	方大集团	0.29	6.97	7072772	49219840	-0.108	-0.091	-0.034	-0.188	-0.231	7.238	7.502	6.974	-1.669	-3.340	-4.280	
000056	皇庭国际	0.73	12.40	1548801	18962840	0.179	0.137	0.084	0.506	0.349	12.030	12.708	11.351	0.609	1.142	3.445	
000058	深 赛 格	1.25	7.30	3186392	23053582	-0.129	-0.026	-0.206	0.051	0.171	8.047	8.649	7.444	-5.522	-8.464	-9.816	
000059	华锦股份	3.60	10.95	31717372	341153440	0.266	0.225	0.083	0.806	0.511	10.500	11.544	9.457	-0.740	0.767	4.986	
000060	中金岭南	2.25	11.35	39570056	445225888	0.242	0.284	-0.086	0.936	0.962	11.223	11.819	10.627	-0.073	-0.388	2.019	
000061	农 产 品					-0.069	-0.095	0.053	-0.223	-0.415	8.922	9.245	8.600	1.874	0.938	1.688	
000062	深圳华强	1.04	24.25	3451650	83506496	-0.884	-0.629	-0.511	-2.123	-1.215	26.631	28.891	24.370	-4.559	-7.428	-10.199	
000063	中兴通讯	-3.62	22.07	96659800	2136469248	0.497	0.724	-0.454	2.085	2.728	23.198	24.403	21.992	-4.168	-3.984	-3.723	
000065	北方国际	2.71	22.75	6065176	134786448	-0.596	-0.404	-0.383	-0.618	-0.674	24.358	26.226	22.489	-2.277	-5.742	-7.420	
000066	中国长城	3.30	9.09	28989276	260901296	0.127	0.148	-0.042	0.501	0.349	9.075	9.897	8.254	-1.606	-2.867	1.028	
000068	华控赛格	-1.58	6.24	3766820	23431678	-0.169	-0.123	-0.093	-0.357	-0.315	6.799	7.225	6.372	-4.757	-7.051	-8.415	
000069	华侨城Ａ	-0.22	9.12	65035960	594458368	0.073	0.189	-0.233	0.516	0.840	9.684	10.221	9.148	-4.084	-4.926	-5.214	
000070	特发信息	0.10	10.14	3228376	32831504	-0.320	-0.158	-0.324	-0.378	0.030	11.280	12.458	10.102	-3.505	-7.263	-10.932	
000078	海王生物	1.33	6.08	16572449	99805600	0.039	0.048	-0.019	0.201	0.158	6.095	6.331	5.860	-1.325	-1.058	-0.341	
000088	盐 田 港	1.08	9.35	9518474	88567336	-0.218	-0.079	-0.278	-0.207	0.193	10.283	11.421	9.146	-3.856	-5.468	-10.330	
000089	深圳机场	1.24	8.97	7254080	64753712	-0.032	0.045	-0.155	0.170	0.308	9.365	9.807	8.924	-2.270	-4.405	-4.124	
000090	天健集团	1.73	11.20	18244348	202448992	0.240	0.296	-0.112	0.937	0.821	11.365	12.336	10.395	-4.708	-3.490	-0.947	
000096	广聚能源	2.06	13.84	1431528	19635202	-0.276	-0.181	-0.191	-0.448	-0.247	14.559	15.356	13.762	-1.401	-3.783	-5.440	
000099	中信海直					-0.284	-0.228	-0.112	-0.791	-0.475	11.767	12.689	10.845	0.208	-1.802	-4.553	
000100	TCL 集团					-0.010	0.001	-0.023	-0.016	0.006	3.504	3.609	3.400	-1.342	-2.233	-1.977	
000150	宜华健康	0.00	24.28	927603	22385088	-0.201	-0.222	0.040	-0.464	-0.639	24.386	24.905	23.867	-0.233	-0.911	-0.884	
000151	中成股份	1.19	17.07	4360247	74061944	-0.462	-0.227	-0.470	-0.505	-0.082	18.833	20.368	17.297	-4.814	-7.962	-10.317	
000153	丰原药业	-2.83	9.62	8654060	82512264	-0.696	-0.304	-0.783	-1.125	-0.169	12.291	14.857	9.725	-9.174	-18.544	-22.223	
000156	华数传媒	0.43	13.97	2308691	32131674	-0.178	-0.085	-0.186	-0.152	-0.049	14.734	15.358	14.110	-2.761	-4.615	-5.331	
000157	中联重科	2.19	4.67	76519168	354096864	0.044	0.032	0.023	0.131	0.108	4.518	4.638	4.399	2.151	2.769	3.787	
000158	常山股份	1.41	10.80	13979110	193997840	-0.159	0.020	-0.359	-0.068	0.344	11.880	12.849	10.911	-4.453	-7.719	-9.037	
000159	国际实业	0.97	6.26	7083802	43703028	-0.072	-0.018	-0.108	0.021	-0.018	6.809	7.292	6.326	-6.544	-8.658	-7.862	
000166	申万宏源	0.00	5.62	29512224	165532112	0.030	0.032	-0.003	0.145	0.101	5.655	5.804	5.505	-1.720	-1.303	-0.369	
000301	东方市场					-0.002	0.008	-0.020	-0.011	0.024	5.134	5.243	5.025	-0.851	-1.319	-1.343	
000333	美的集团	-1.58	41.00	37581524	1540916096	0.594	0.973	-0.758	2.741	3.871	42.515	44.463	40.568	-2.175	-2.247	-2.602	
000338	潍柴动力	-0.88	6.72	64209928	872676032	0.242	0.250	-0.016	0.790	0.794	6.483	7.027	5.938	1.357	1.459	5.709	
000400	许继电气	-1.00	16.79	6703549	111866016	0.137	0.266	-0.259	0.882	0.947	17.517	18.726	16.309	-3.957	-5.479	-3.385	
000401	冀东水泥	2.59	15.06	42923648	644850304	-0.227	-0.185	-0.083	-0.452	-1.020	15.894	17.212	14.576	-5.973	-6.716	-5.597	
000402	金 融 街	1.93	12.17	31540488	380290624	0.127	0.092	0.069	0.355	0.367	11.744	12.149	11.339	2.700	3.773	4.240	
000403	ST生化					0.407	0.023	0.769	0.126	-0.930	28.340	30.926	25.754	3.984	5.888	9.364	
